method,asset,avg_concentration
actor_critic,asset_0,0.18390688465150126
actor_critic,asset_1,0.10426753182286135
actor_critic,asset_2,0.043518149471969074
actor_critic,asset_3,0.20403557220525553
actor_critic,asset_4,0.23671952186984221
actor_critic,asset_5,0.025733534534708714
actor_critic,asset_6,0.07681717664207743
actor_critic,asset_7,0.0291945583149271
actor_critic,asset_8,0.02522485587548051
actor_critic,asset_9,0.07058221461137698
belief_aware_actor_critic,asset_0,0.18102557016531529
belief_aware_actor_critic,asset_1,0.15691499044835913
belief_aware_actor_critic,asset_2,0.1697271630677789
belief_aware_actor_critic,asset_3,0.009545350305245765
belief_aware_actor_critic,asset_4,0.19357180285013073
belief_aware_actor_critic,asset_5,0.017828199829164084
belief_aware_actor_critic,asset_6,0.023726129859800726
belief_aware_actor_critic,asset_7,0.09394491497706561
belief_aware_actor_critic,asset_8,0.09177379739574151
belief_aware_actor_critic,asset_9,0.06194208110139817
hindsight_training,asset_0,0.11477430989585016
hindsight_training,asset_1,0.1008655887859496
hindsight_training,asset_2,0.11385595736194076
hindsight_training,asset_3,0.11520285124415772
hindsight_training,asset_4,0.12505773204467344
hindsight_training,asset_5,0.10311387185067893
hindsight_training,asset_6,0.10034611435281295
hindsight_training,asset_7,0.10235032367179664
hindsight_training,asset_8,0.017478753920776847
hindsight_training,asset_9,0.10695449687136294
pg_loo,asset_0,0.1612034542373739
pg_loo,asset_1,0.015401415717551136
pg_loo,asset_2,0.04401618736337523
pg_loo,asset_3,0.1163702602831743
pg_loo,asset_4,0.22916785322499045
pg_loo,asset_5,0.10186961685891746
pg_loo,asset_6,0.1408393935037621
pg_loo,asset_7,0.1284208571685134
pg_loo,asset_8,0.03784149405770367
pg_loo,asset_9,0.024869467584638396
vanilla_pg,asset_0,0.18949941664826822
vanilla_pg,asset_1,0.061458828834830184
vanilla_pg,asset_2,0.022694141870372036
vanilla_pg,asset_3,0.03796444048622512
vanilla_pg,asset_4,0.1441504549049853
vanilla_pg,asset_5,0.07655581973282016
vanilla_pg,asset_6,0.04633482756392332
vanilla_pg,asset_7,0.14241548485155187
vanilla_pg,asset_8,0.13706800498783833
vanilla_pg,asset_9,0.14185858011918545
